;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;WEEK 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NO;CODE UNIT;MODEL UNIT;STATUS UNIT;FREQ DOWN BY COMPONENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOTAL;WH;LOST TIME;EWH;BD FREQ;MTTR;MTBF;BY DOWNTIME;;BY FREQ;;PA;MA;
;;;;;ENG;FL;ARS;RCS;EX;TM;CL;DF;FD;PS;FH;TY;SPN;STS;BS;HYD;PTO;CB;AC;EL;RD;CF;VT;CG;AT;FS;LB;ACC;;;;;;;;SCH;UNS;SCH;UNS;;;
;;;;;WL;WN;WP;WT;CW;WR;OSR;ACC;WA;;;;;;;;;;;;;;;;;;;;;;;;;;;P;UM;P;UM;;;
;1;DT TATA 035;Prima LX 2528;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0;0,00;0,00;0;0;100%;0%;
;2;DT TATA 064;Prima LX 2528;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0;0,00;0,00;0;0;100%;0%;
;3;DT TATA 070;Prima LX 2528;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0;0,00;0,00;0;0;100%;0%;
;4;DT TATA 078;Prima LX 2528;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0;0,00;0,00;0;0;100%;0%;
;5;DT TATA 085;Prima LX 2528;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0;0,00;0,00;0;0;100%;0%;
;6;DT TATA 086;Prima LX 2528;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0;0,00;0,00;0;0;100%;0%;
;7;DT TATA 088;Prima LX 2528;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0;0,00;0,00;0;0;100%;0%;
;TATA 2528K;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;100%;0%;
;1;DT MERCY 037;AXOR 3336K;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0,0;0,0;0,0;0;0;100%;0%;
;2;DT MERCY 038;AXOR 3336K;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0,0;0,0;0,0;0;0;100%;0%;
;3;DT MERCY 039;AXOR 3336K;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0,0;0,0;0,0;0;0;100%;0%;
;4;DT MERCY 040;AXOR 3336K;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0,0;0,0;0,0;0;0;100%;0%;
;5;DT MERCY 041;AXOR 3336K;RFU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;168;0;-;0,0;0,0;0,0;0;0;100%;0%;
